district,totamntbor,avgloan,noloans
Nachod,1768380,294730,6
"Ceske Budejovice",2010924,251366,8
Beroun,1460796,243466,6
Jesenik,1938432,242304,8
"Kutna Hora",2095980,232887,9
Bruntal,1277796,212966,6
Strakonice,1224492,204082,6
Hodonin,1191504,198584,6
Domazlice,397008,198504,2
"Plzen - sever",1338984,191283,7
Kolin,1901160,190116,10
"Zdar nad Sazavou",1326540,189506,7
Opava,1493076,186635,8
Trutnov,1076580,179430,6
Chrudim,1431684,178961,8
Zlin,3012768,177222,17
Svitavy,2100084,175007,12
Prerov,695628,173907,4
"Praha - vychod",859464,171893,5
"Havlickuv Brod",1193208,170458,7
